Plant,Real?,name,Chapter,Count,Volume,Book,Order
ivy,yes,yes,A Long-expected Party,1,The Fellowship of the Ring,1,1
potatoes (taters),yes,no,A Long-expected Party,3,The Fellowship of the Ring,1,1
primula,yes,yes,A Long-expected Party,1,The Fellowship of the Ring,1,1
cabbages,yes,no,A Long-expected Party,1,The Fellowship of the Ring,1,1
snapdragon,yes,no,A Long-expected Party,1,The Fellowship of the Ring,1,1
sunflower,yes,no,A Long-expected Party,1,The Fellowship of the Ring,1,1
nasturtian,yes,no,A Long-expected Party,1,The Fellowship of the Ring,1,1
melilot,yes,yes,A Long-expected Party,1,The Fellowship of the Ring,1,1
lobelia,yes,yes,A Long-expected Party,8,The Fellowship of the Ring,1,1
elm,yes,no,The Shadow of the Past,3,The Fellowship of the Ring,1,2
iris,yes,no,The Shadow of the Past,1,The Fellowship of the Ring,1,2
reed,yes,no,The Shadow of the Past,2,The Fellowship of the Ring,1,2
alder,yes,no,Three is Company,1,The Fellowship of the Ring,1,3
fir,yes,no,Three is Company,3,The Fellowship of the Ring,1,3
oak,yes,no,Three is Company,2,The Fellowship of the Ring,1,3
hazel (filbert),yes,no,Three is Company,1,The Fellowship of the Ring,1,3
willow,yes,yes,Three is Company,1,The Fellowship of the Ring,1,3
birch,yes,no,Three is Company,1,The Fellowship of the Ring,1,3
sloe,yes,no,Three is Company,1,The Fellowship of the Ring,1,3
ivy,yes,yes,Three is Company,1,The Fellowship of the Ring,1,3
apple,yes,yes,Three is Company,3,The Fellowship of the Ring,1,3
corn,yes,no,Three is Company,1,The Fellowship of the Ring,1,3
lobelia,yes,yes,Three is Company,5,The Fellowship of the Ring,1,3
elm,yes,no,A Short Cut to Mushrooms,2,The Fellowship of the Ring,1,4
oak,yes,no,A Short Cut to Mushrooms,1,The Fellowship of the Ring,1,4
fern,yes,yes,A Short Cut to Mushrooms,1,The Fellowship of the Ring,1,4
brambles,yes,no,A Short Cut to Mushrooms,1,The Fellowship of the Ring,1,4
ash,yes,no,A Short Cut to Mushrooms,1,The Fellowship of the Ring,1,4
rush,yes,yes,A Short Cut to Mushrooms,1,The Fellowship of the Ring,1,4
briar,yes,no,A Short Cut to Mushrooms,1,The Fellowship of the Ring,1,4
turnips,yes,no,A Short Cut to Mushrooms,1,The Fellowship of the Ring,1,4
reed,yes,no,A Conspiracy Unmasked,1,The Fellowship of the Ring,1,5
alder,yes,no,The Old Forest,1,The Fellowship of the Ring,1,6
oak,yes,no,The Old Forest,1,The Fellowship of the Ring,1,6
brambles,yes,no,The Old Forest,1,The Fellowship of the Ring,1,6
ash,yes,no,The Old Forest,2,The Fellowship of the Ring,1,6
hemlock,yes,no,The Old Forest,1,The Fellowship of the Ring,1,6
nettle,yes,no,The Old Forest,1,The Fellowship of the Ring,1,6
fire-weed,yes,no,The Old Forest,1,The Fellowship of the Ring,1,6
pine,yes,no,The Old Forest,1,The Fellowship of the Ring,1,6
willow,yes,yes,The Old Forest,22,The Fellowship of the Ring,1,6
water-lily,yes,no,The Old Forest,7,The Fellowship of the Ring,1,6
heather (ling),yes,yes,The Old Forest,1,The Fellowship of the Ring,1,6
rush,yes,yes,The Old Forest,1,The Fellowship of the Ring,1,6
thistle,yes,yes,The Old Forest,1,The Fellowship of the Ring,1,6
apple,yes,yes,The Old Forest,1,The Fellowship of the Ring,1,6
parsley (wood-parsley),yes,no,The Old Forest,1,The Fellowship of the Ring,1,6
reed,yes,no,The Old Forest,6,The Fellowship of the Ring,1,6
brambles,yes,no,In the House of Tom Bombadil,1,The Fellowship of the Ring,1,7
willow,yes,yes,In the House of Tom Bombadil,11,The Fellowship of the Ring,1,7
water-lily,yes,no,In the House of Tom Bombadil,4,The Fellowship of the Ring,1,7
flag-lily,yes,no,In the House of Tom Bombadil,1,The Fellowship of the Ring,1,7
forget-me-not,yes,no,In the House of Tom Bombadil,2,The Fellowship of the Ring,1,7
beans,yes,no,In the House of Tom Bombadil,2,The Fellowship of the Ring,1,7
rush,yes,yes,In the House of Tom Bombadil,3,The Fellowship of the Ring,1,7
apple,yes,yes,In the House of Tom Bombadil,1,The Fellowship of the Ring,1,7
reed,yes,no,In the House of Tom Bombadil,2,The Fellowship of the Ring,1,7
willow,yes,yes,Fog on the Barrow-downs,2,The Fellowship of the Ring,1,8
flax,yes,no,Fog on the Barrow-downs,1,The Fellowship of the Ring,1,8
butterbur,yes,yes,Fog on the Barrow-downs,1,The Fellowship of the Ring,1,8
reed,yes,no,Fog on the Barrow-downs,1,The Fellowship of the Ring,1,8
fern,yes,yes,At the Sign of The Prancing Pony,1,The Fellowship of the Ring,1,9
heather (ling),yes,yes,At the Sign of The Prancing Pony,1,The Fellowship of the Ring,1,9
butterbur,yes,yes,At the Sign of The Prancing Pony,19,The Fellowship of the Ring,1,9
rush,yes,yes,At the Sign of The Prancing Pony,1,The Fellowship of the Ring,1,9
thistle,yes,yes,At the Sign of The Prancing Pony,1,The Fellowship of the Ring,1,9
mugwort,yes,yes,At the Sign of The Prancing Pony,4,The Fellowship of the Ring,1,9
barley,yes,yes,At the Sign of The Prancing Pony,1,The Fellowship of the Ring,1,9
blackberry,yes,no,At the Sign of The Prancing Pony,1,The Fellowship of the Ring,1,9
apple,yes,yes,At the Sign of The Prancing Pony,1,The Fellowship of the Ring,1,9
fern,yes,yes,Strider,6,The Fellowship of the Ring,1,10
butterbur,yes,yes,Strider,20,The Fellowship of the Ring,1,10
barley,yes,yes,Strider,3,The Fellowship of the Ring,1,10
alder,yes,no,A Knife in the Dark,1,The Fellowship of the Ring,1,11
fern,yes,yes,A Knife in the Dark,10,The Fellowship of the Ring,1,11
hemlock,yes,no,A Knife in the Dark,3,The Fellowship of the Ring,1,11
butterbur,yes,yes,A Knife in the Dark,8,The Fellowship of the Ring,1,11
rush,yes,yes,A Knife in the Dark,1,The Fellowship of the Ring,1,11
linden,yes,no,A Knife in the Dark,1,The Fellowship of the Ring,1,11
beech,yes,yes,A Knife in the Dark,1,The Fellowship of the Ring,1,11
apple,yes,yes,A Knife in the Dark,4,The Fellowship of the Ring,1,11
reed,yes,no,A Knife in the Dark,3,The Fellowship of the Ring,1,11
fir,yes,no,Flight to the Ford,1,The Fellowship of the Ring,1,12
hazel (filbert),yes,no,Flight to the Ford,1,The Fellowship of the Ring,1,12
fern,yes,yes,Flight to the Ford,2,The Fellowship of the Ring,1,12
pine,yes,no,Flight to the Ford,4,The Fellowship of the Ring,1,12
heather (ling),yes,yes,Flight to the Ford,4,The Fellowship of the Ring,1,12
athelas (asëa aranion; kingsfoil),no,no,Flight to the Ford,1,The Fellowship of the Ring,1,12
whortleberry (bilberry),yes,no,Flight to the Ford,1,The Fellowship of the Ring,1,12
fern,yes,yes,Many Meetings,1,The Fellowship of the Ring,2,13
butterbur,yes,yes,Many Meetings,1,The Fellowship of the Ring,2,13
ebony,yes,no,Many Meetings,1,The Fellowship of the Ring,2,13
peas,yes,no,Many Meetings,1,The Fellowship of the Ring,2,13
apple,yes,yes,Many Meetings,1,The Fellowship of the Ring,2,13
pine,yes,no,The Council of Elrond,1,The Fellowship of the Ring,2,14
butterbur,yes,yes,The Council of Elrond,2,The Fellowship of the Ring,2,14
nimloth,no,yes,The Council of Elrond,1,The Fellowship of the Ring,2,14
galathilion (the tree of the high elves),no,yes,The Council of Elrond,1,The Fellowship of the Ring,2,14
white tree (the tree),no,no,The Council of Elrond,3,The Fellowship of the Ring,2,14
pine,yes,no,The Ring Goes South,1,The Fellowship of the Ring,2,15
heather (ling),yes,yes,The Ring Goes South,1,The Fellowship of the Ring,2,15
holly,yes,no,The Ring Goes South,3,The Fellowship of the Ring,2,15
holly,yes,no,A Journey in the Dark,3,The Fellowship of the Ring,2,16
galathilion (the tree of the high elves),no,yes,A Journey in the Dark,1,The Fellowship of the Ring,2,16
,,,The Bridge of Khazad-dûm,0,The Fellowship of the Ring,2,17
fir,yes,no,Lothlórien,4,The Fellowship of the Ring,2,18
heather (ling),yes,yes,Lothlórien,1,The Fellowship of the Ring,2,18
linden,yes,no,Lothlórien,1,The Fellowship of the Ring,2,18
athelas (asëa aranion; kingsfoil),no,no,Lothlórien,2,The Fellowship of the Ring,2,18
birch,yes,no,Lothlórien,1,The Fellowship of the Ring,2,18
harts-tongue,yes,no,Lothlórien,1,The Fellowship of the Ring,2,18
whortleberry (bilberry),yes,no,Lothlórien,1,The Fellowship of the Ring,2,18
poplar,yes,no,Lothlórien,1,The Fellowship of the Ring,2,18
mallorn (mellyrn),no,no,Lothlórien,6,The Fellowship of the Ring,2,18
elanor,no,yes,Lothlórien,3,The Fellowship of the Ring,2,18
niphredil,no,no,Lothlórien,2,The Fellowship of the Ring,2,18
gorse (whin),yes,no,Lothlórien,1,The Fellowship of the Ring,2,18
mallorn (mellyrn),no,no,The Mirror of Galadriel,2,The Fellowship of the Ring,2,19
white tree (the tree),no,no,The Mirror of Galadriel,1,The Fellowship of the Ring,2,19
mallorn (mellyrn),no,no,Farewell to Lórien,2,The Fellowship of the Ring,2,20
